trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-102.75784888220389,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.998}",25,0,-197.84626874776205,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-100.70653182503891,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.996}",25,0,-63.01205347619593,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995}",20,0,-110.18924474958256,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.994}",20,10,0.9222365424578971,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.993}",25,0,-118.78777216059858,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992}",30,0,-58.036874456965215,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-79.6803272266703,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.99}",25,13,-19.078772154992848,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.989}",20,0,-42.3603543937375,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.988}",25,0,22.70417847029246,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.987}",20,0,9.129712624447862,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.986}",25,0,-1.2710083309433027,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.985}",25,0,16.85458149116738,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.984}",30,17,15.501372213860257,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.983}",25,17,-29.204217000691536,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.982}",30,0,-14.81878513805892,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.981}",20,0,-2.6116119400324225,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.98}",35,5,-26.132204091349752,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.979}",20,0,-39.17642642770523,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.978}",25,9,-40.791317376906,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.977}",20,0,-74.2416687694215,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.976}",25,0,-18.66950865739637,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.975}",25,8,7.11749513238194,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.974}",20,0,-126.8924576793631,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.973}",25,16,15.013532607752817,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.972}",20,8,1.002855891732309,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.971}",20,0,26.544813124414617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.97}",20,0,-74.86752840968077,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.969}",20,0,9.395543129534262,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.968}",20,0,-16.334225895911793,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.967}",25,0,-6.0008873281094175,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.966}",20,0,3.8039231120623547,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.965}",30,18,20.873894458217777,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.964}",30,0,-80.84384594485338,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.963}",25,0,-13.926784335291849,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.962}",20,0,-18.626364288809448,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.961}",20,11,10.140366912113462,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.96}",30,0,-29.91215011258449,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.959}",25,0,-38.93143746182373,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.958}",20,0,24.12660567835778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.957}",20,0,-30.801284429285193,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.956}",20,0,4.467841870378335,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.955}",20,0,-79.13016280045444,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.954}",30,0,27.089261261984912,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.953}",25,0,11.407259499296606,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.952}",20,0,-20.7590263860127,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.951}",20,0,1.2222325129709606,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.95}",20,0,-16.648261409308255,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.949}",20,0,0.5416920150740304,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.948}",30,15,21.021637570507156,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.947}",25,7,35.97725849690315,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.946}",20,0,15.641788567838702,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.945}",20,0,-60.240333639282674,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.944}",20,0,-41.07101122397013,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.943}",30,0,-3.740501062361588,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.942}",20,0,20.920128468048798,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.941}",20,0,11.758119461829187,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.94}",20,0,25.91832434189995,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.939}",25,0,-12.474522987133735,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.938}",20,0,16.30109086519293,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9369999999999999}",20,0,-35.74295942256399,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9359999999999999}",30,0,-31.945192486874063,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,14,18.72466692610925,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.9339999999999999}",20,0,-45.699264360998974,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9329999999999999}",30,0,-16.201398772418045,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9319999999999999}",20,0,-35.08452613106014,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9309999999999999}",25,0,6.788416300740707,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-63.681492760061026,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9289999999999999}",20,0,8.27017473702072,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9279999999999999}",25,0,16.910294943527525,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9269999999999999}",25,0,8.640329108961433,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.9259999999999999}",25,0,-0.2593144023384437,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-18.338313691356895,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9239999999999999}",25,0,-0.4933229876078562,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.9229999999999999}",20,0,-16.04329268883673,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9219999999999999}",20,0,14.72733052826622,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9209999999999999}",25,0,11.134109638609148,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,30.194790406779845,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.9189999999999999}",30,0,26.3598052935483,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9179999999999999}",30,20,3.9106886388013162,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.9169999999999999}",25,0,14.76621315072066,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.9159999999999999}",25,0,30.49919845580891,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,2,23.924775524120033,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.9139999999999999}",30,0,21.17721946091865,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.9129999999999999}",30,0,-16.688486675563546,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9119999999999999}",30,0,33.2276560236486,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9109999999999999}",20,0,28.488980226611446,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,16,6.157455469373817,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.9089999999999999}",20,0,15.255820417063623,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.9079999999999999}",20,0,14.43843816014173,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9069999999999999}",20,0,-32.14320762352743,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9059999999999999}",25,0,33.06263838145061,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-28.095223997299787,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.9039999999999999}",20,0,19.890631836127767,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.9029999999999999}",30,11,3.9653255675072185,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.9019999999999999}",35,0,29.694725637663655,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9009999999999999}",20,7,8.854564473080234,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,18,18.201308642480747,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.8989999999999999}",25,4,23.73580589531677,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.8979999999999999}",20,0,-4.968041162401944,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.8969999999999999}",30,0,-31.56344295304408,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.8959999999999999}",30,0,-30.27901353673488,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,10.703692042521752,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.8939999999999999}",20,0,19.17821612849067,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.8929999999999999}",25,0,-5.821481947956636,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.8919999999999999}",20,0,25.424764491668466,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.8909999999999999}",30,0,-18.573975508841865,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.8899999999999999}",30,0,30.331855752460275,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.8889999999999999}",20,0,11.774089408198336,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.8879999999999999}",20,0,-24.00453267633448,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.8869999999999999}",25,0,31.04183234471973,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.8859999999999999}",30,0,12.18350256910144,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,0,-0.18024690628159845,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.8839999999999999}",25,0,-47.03539536053734,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.8829999999999999}",20,0,18.23593148488646,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.8819999999999999}",20,0,4.836396637318947,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.8809999999999999}",20,0,22.451069557512326,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-30.29526848612495,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.8789999999999999}",20,12,2.240686838104949,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.8779999999999999}",20,0,-21.303051627539396,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.8769999999999999}",30,0,-30.262763633953934,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
