trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999}",25,0,-167.3794433997712,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9998}",20,0,-161.40461597395853,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9997}",20,0,-116.36961441634875,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9996}",30,0,-88.37506224010738,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9995}",25,0,-65.69385552116594,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9994000000000001}",20,0,-44.51647620512043,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9993000000000001}",20,0,-51.8534031306414,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9992000000000001}",20,0,-89.94598209604554,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9991000000000001}",30,23,3.6617928565676277,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9990000000000001}",30,2,-96.67286668487027,"{0: 21, 1: 4, 2: 0, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.9989000000000001}",35,21,-28.27721227830099,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9988000000000001}",35,0,-46.651125102249104,"{0: 30, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9987000000000001}",20,0,-23.157418923001305,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9986000000000002}",20,10,14.49444583689961,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9985000000000002}",25,0,-31.27822716275719,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9984000000000002}",20,0,28.31542976835619,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9983000000000002}",20,0,-35.25914609317803,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9982000000000002}",20,0,-76.18885617414368,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9981000000000002}",20,5,-83.09239699310193,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.9980000000000002}",30,19,9.703181265072647,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9979000000000002}",25,0,8.246827511460943,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9978000000000002}",20,1,-33.77017236815434,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.9977000000000003}",20,0,-22.361495239548457,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9976000000000003}",20,0,-32.350778532022204,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9975000000000003}",25,0,-40.61736989558385,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9974000000000003}",25,0,17.599277741755962,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9973000000000003}",20,0,-21.421259138778844,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9972000000000003}",25,0,-60.76622107710165,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9971000000000003}",20,0,-38.872961649460684,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
