trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,17,-17.506962760694865,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-185.52400042773183,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,9,-55.83067633133503,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-189.81028344388287,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-19.524932178868365,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-168.37412629050704,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-133.39647688055666,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-48.4605960843504,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-130.33581416403612,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-81.55772494720858,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-233.785441130802,"{0: 12, 1: 7, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-152.7142454629511,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,10,-131.47282740037986,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-213.36462350611023,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-153.03211454050003,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-131.5198750161067,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-191.0610382998091,"{0: 10, 1: 4, 2: 6, 3: 4, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-48.17971957531388,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-212.77180025000166,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-157.89959041343903,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-156.1239978947915,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-174.20911303334643,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-12.563376344794804,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-116.88330578813478,"{0: 12, 1: 6, 2: 4, 3: 3, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-109.4647248381259,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-170.90400874534575,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-110.62176174712422,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-217.11504452817613,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,0,-110.55609226754339,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-67.60306232187239,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
